VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4BZ1DP6L,King,Redmond,WA,98052,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,150330477,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022802
5UXTA6C07P,Snohomish,Bothell,WA,98012,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,219586503,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
5YJ3E1EB2L,King,Seattle,WA,98122,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,43,127271665,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008402
1C4RJXU68R,Thurston,Yelm,WA,98597,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,2,257730574,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012422
2C4RC1L7XP,Thurston,Yelm,WA,98597,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,2,255992950,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJ3E1EA5L,King,Seattle,WA,98109,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36,1941502,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800
5YJSA1E15G,Kitsap,Bremerton,WA,98312,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,273747106,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080700
1C4JJXR62N,Snohomish,Bothell,WA,98012,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,1,262480641,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051934
5UX43EU08S,Yakima,Selah,WA,98942,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,15,272616858,POINT (-120.53145 46.65405),PACIFICORP,53077003200
5YJ3E1EA7J,King,Bellevue,WA,98008,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,262982646,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
5YJSA1H20F,Snohomish,Lake Stevens,WA,98258,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,44,158195712,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052506
1G1RB6E49D,Thurston,Olympia,WA,98501,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,259009096,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010300
